"","method","output","features","scaling","avg_rank","overall_immune_cell_hum","overall_immune_cell_hum_mou","overall_lung_atlas","overall_mouse_brain","overall_pancreas","overall_simulations_1_1","overall_simulations_2","rank_immune_cell_hum","rank_immune_cell_hum_mou","rank_lung_atlas","rank_mouse_brain","rank_pancreas","rank_simulations_1_1","rank_simulations_2","package_score","package_rank","paper_score","paper_rank","time_score","time_rank","memory_score","memory_rank"
"1","scANVI*","Embedding","HVG","Unscaled",4.6,0.821713885471326,0.627515416706118,0.755793502085518,0.733198998216961,0.723884677636787,0.852848286635035,0.736584260942612,4,4,3,1,11,3,4,0.810282227658735,7,0.4375,14.5,0.554064525563606,36,0.490517319553159,3
"2","Scanorama","Embedding","HVG","Scaled",8,0.848436882480288,0.641592931910029,0.708848468828418,0.672544343374225,0.703483741615464,0.852296894579337,0.52657919729308,1,2,6,10,21,4,25,0.768669407955511,10,0.875,5,0.635525788754971,17,0.404646087858264,21
"3","scVI","Embedding","HVG","Unscaled",9.4,0.788039474367344,0.636712016234591,0.719601878973018,0.677341542398644,0.713404718899536,0.814174062809055,0.502213606283661,14,3,5,9,16,13,28,0.883198894325402,5,0.65625,12,0.568230191636365,28,0.520166395746794,1
"4","FastMNN","Embedding","HVG","Unscaled",10.4,0.84561890294158,0.604928209730644,0.708385254638346,0.606238406009413,0.720062557471025,0.744617792388712,0.705206892916134,2,9,7,21,13,35,6,0.799354953911788,8,0.25,16,0.643475323506085,16,0.434787607819425,14
"5","Harmony","Embedding","HVG","Unscaled",13.2,0.818014444914354,0.538061793125107,0.646940018904876,0.690298492337865,0.790036067968844,0.72559472264134,0.687788917398297,5,25,28,7,1,38,8,0.856079357842032,6,1,1.5,0.684154547997769,10,0.441704283665463,10
"6","scGen*","Features","HVG","Unscaled",13.2,0.815556685123402,0.667405636618891,0.7614540012621,NA,0.748935268741125,0.758451415520231,0.752058939524852,7,1,2,50,6,23,2,0.695732663804888,12,0.5625,13,0.386000059430811,50,0.40335497747027,22
"7","FastMNN","Features","HVG","Unscaled",18,0.805524632351222,0.575728446843819,0.669849917329276,0.55598476589272,0.691850644373332,0.70426281175511,0.658706426109599,10,15,15,27,23,46,12,0.799354953911788,8,0.25,16,0.643475323506085,16,0.434787607819425,14
"8","Scanorama","Features","HVG","Scaled",21.2,0.748042863626572,0.513327288346619,0.651691167338056,0.663281201506702,0.712660526141463,0.757052740113373,0.531886072777213,21,33,23,12,17,25,23,0.768669407955511,10,0.875,5,0.635525788754971,17,0.404646087858264,21
"9","Seurat v3 RPCA","Features","HVG","Scaled",22.2,0.748174524199502,0.522444685931089,0.698304430219928,NA,0.781129145712782,0.612410071126504,NA,20,30,9,50,2,57,61,0.954421585648148,1.5,0.8125,8,0.55851732868304,32,0.304233931777869,45
"10","BBKNN","Graph","HVG","Unscaled",25.8,0.665387119042685,0.589689785254012,0.553084654148109,0.72785832244719,0.716877408319004,0.645022662503672,0.565458462143265,47,12,54,2,14,53,19,0.780925049564543,9,0.9375,3,0.735854087546029,3,0.491499915657371,2
"11","ComBat","Features","HVG","Unscaled",26.6,0.663882597994108,0.534380053529475,0.660443700117239,0.697270048954481,0.655120571859579,0.775898793481699,0.519893263816668,48,26,20,6,33,21,26,0.907878683208806,3,0.8125,8,0.748092511649814,2,0.439314097931164,11
"12","MNN","Features","HVG","Scaled",30.6,0.761490472650583,0.530367265716208,0.666500759230642,NA,0.633429673467783,0.81872646326605,0.546414546143894,19,27,17,50,40,11,20,0.462995504646942,15,0.875,5,0.456460278808777,47,0.406762008220074,18
"13","trVAE","Embedding","HVG","Unscaled",31.9,0.690508235006595,NA,0.684780490655635,NA,0.704564508309859,0.616229751904473,0.671054175398817,37,41.5,11,50,20,56,10,0.699723891635162,11,0.4375,14.5,0.389543445530605,49,0.145659118143781,55
"14","Seurat v3 CCA","Features","HVG","Unscaled",33.7,0.696322874714599,NA,0.630462811973243,NA,0.727991618886461,0.705416140427909,0.70187743367297,35,41.5,32,50,10,45,7,0.954421585648148,1.5,0.8125,8,0.57327670212607,27,0.342886219455489,41
"15","Conos","Graph","HVG","Unscaled",39.8,0.725534155721954,0.45631694917792,0.516486362951357,0.601037396336897,0.628766007492173,0.739626509021881,0.462220764811635,28,50,57,22,42,37,40,0.623153826711311,13,1,1.5,0.610609368507663,20,0.324261322094845,43
"16","DESC","Embedding","Full","Unscaled",41.4,0.68990374660724,0.435177842545205,0.632946059857476,0.541993557903621,0.53579084462591,0.832183720396942,0.458730082274325,38,54,30,29,56,9,43,0.421290917490928,16,0.875,5,0.500982079800436,42,0.398778053979131,24
"17","LIGER","Embedding","HVG","Unscaled",45.2,0.694182561541685,0.490260853966914,0.252335000731828,0.647989738742323,0.479750758417351,0.686801649165674,0.493572954675753,36,47,69,14,60,49,31,0.906511276936336,4,0.6875,11,0.564134585862904,30,0.381379625660008,29
"18","SAUCIE","Embedding","HVG","Scaled",52.2,0.613009923763184,0.300328467306606,0.497268578908147,0.585667406494278,0.522515283796476,0.743913099800828,0.425941530311382,59,63,58,23,58,36,48,0.488017914620804,14,0.75,10,0.718892765754664,5,0.485029832973787,4
"19","Unintegrated","Features","Full","Unscaled",53.8,0.57861414954916,0.49200536169045,0.572743143854416,0.454757226134459,0.431120828284327,0.303995331555931,0.342067431269779,62,41.5,51.5,50,64,69,61,NA,NA,NA,NA,NA,NA,NA,NA
"20","SAUCIE","Features","HVG","Scaled",54.4,0.588664974592331,0.29884602636632,0.474824316237907,0.553569705054141,0.50739293066043,0.708836940515748,0.429023001924823,61,64,60,28,59,44,46,0.488017914620804,14,0.75,10,0.718892765754664,5,0.485029832973787,4
